    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
     860       5504.28     0.7774   6.185E+00   1.4000   0.1892   4.770E-17   4.81375520E+00   1.18948695E+01
     865       5532.21     1.1478   6.080E+00   1.4000   0.1964   5.031E-17   4.81305946E+00   1.18921611E+01
     870       5562.65     0.8843   5.977E+00   1.4000   0.1913   4.597E-17   4.81230246E+00   1.18898456E+01
     875       5591.92     1.4800   5.899E+00   1.4000   0.1616   4.380E-17   4.81157575E+00   1.18882195E+01
     880       5621.47     1.0246   5.972E+00   1.4000   0.1655   4.510E-17   4.81084229E+00   1.18866585E+01
     885       5646.05     2.0573   6.210E+00   1.4000   0.2006   4.163E-17   4.81023260E+00   1.18853286E+01
     890       5676.85     1.0055   6.143E+00   1.4000   0.2185   4.543E-17   4.80946784E+00   1.18835479E+01
     895       5705.87     1.2560   5.804E+00   1.4000   0.1995   4.163E-17   4.80874645E+00   1.18819234E+01
     900       5734.28     0.9741   5.459E+00   1.4000   0.1899   4.424E-17   4.80803835E+00   1.18802893E+01
     905          5760     0.7669   5.323E+00   1.4000   0.1745   4.250E-17   4.80739511E+00   1.18791098E+01
     910        5786.4     1.1275   5.320E+00   1.4000   0.1755   4.402E-17   4.80673224E+00   1.18782289E+01
     915       5813.13     0.7218   5.452E+00   1.4000   0.1735   4.857E-17   4.80605807E+00   1.18779752E+01
     920       5836.41     1.0897   5.451E+00   1.4000   0.1887   4.424E-17   4.80546814E+00   1.18781829E+01
     925       5863.58     0.7493   5.379E+00   1.4000   0.1802   4.424E-17   4.80477686E+00   1.18786013E+01
     930       5885.45     1.0806   5.523E+00   1.4000   0.1803   4.684E-17   4.80421813E+00   1.18789917E+01
     935       5913.64     0.7352   5.791E+00   1.4000   0.1860   4.424E-17   4.80349551E+00   1.18791426E+01
     940          5940     0.7286   5.782E+00   1.4000   0.2001   4.597E-17   4.80281820E+00   1.18788649E+01
     945       5968.63     1.0720   5.674E+00   1.4000   0.2024   4.597E-17   4.80208150E+00   1.18774817E+01
     950       5996.82     0.6836   3.182E+00   0.7984   0.1028   5.204E-17   4.80135621E+00   1.18752004E+01
     955       6022.71     1.0232   5.792E+00   1.4000   0.1918   4.684E-17   4.80069082E+00   1.18724754E+01
     960       6051.81     0.7424   5.875E+00   1.4000   0.1924   5.117E-17   4.79994476E+00   1.18684936E+01
     965        6077.8     1.0871   5.965E+00   1.4000   0.1885   4.673E-17   4.79928091E+00   1.18643275E+01
     970       6107.56     0.6923   5.982E+00   1.4000   0.1879   4.684E-17   4.79852386E+00   1.18586428E+01
     975       6132.18     1.0571   6.056E+00   1.4000   0.2010   5.031E-17   4.79790050E+00   1.18533960E+01
     980       6162.57     0.7149   6.040E+00   1.4000   0.2118   4.250E-17   4.79713512E+00   1.18467728E+01
     985       6192.24     1.1775   6.179E+00   1.4000   0.2085   4.337E-17   4.79639188E+00   1.18410440E+01
     990       6223.94     0.7108   6.503E+00   1.4000   0.2175   4.077E-17   4.79560193E+00   1.18360339E+01
     995       6253.36     1.0976   6.709E+00   1.4000   0.2137   4.684E-17   4.79487256E+00   1.18326388E+01
    1000       6286.96     0.7254   6.723E+00   1.4000   0.2013   4.033E-17   4.79404332E+00   1.18292344E+01
    1005       6320.18     1.0594   6.802E+00   1.4000   0.1925   4.077E-17   4.79322741E+00   1.18256851E+01
    1010       6353.66     0.7406   6.339E+00   1.3672   0.1810   3.860E-17   4.79240929E+00   1.18210627E+01
    1015       6384.97     1.0628   6.056E+00   1.4000   0.1721   4.299E-17   4.79164779E+00   1.18155058E+01
    1020        6414.9     0.7358   5.095E+00   1.2159   0.1450   3.773E-17   4.79092220E+00   1.18089249E+01
    1025       6443.64     1.0780   6.029E+00   1.4000   0.1882   3.892E-17   4.79022816E+00   1.18020667E+01
    1030       6473.73     0.7201   5.986E+00   1.4000   0.1858   4.220E-17   4.78950407E+00   1.17951656E+01
