    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
     940       10047.9     0.4851   9.163E+00   1.4000   0.2849   2.429E-17   4.72563699E+00   1.15915439E+01
     945       10089.4     0.4981   9.232E+00   1.4000   0.2801   2.602E-17   4.72455271E+00   1.15865319E+01
     950       10136.3     0.4756   3.677E+00   0.5272   0.1124   2.819E-17   4.72333958E+00   1.15813891E+01
     955       10179.6     0.5244   9.909E+00   1.4000   0.3287   2.429E-17   4.72223524E+00   1.15771391E+01
     960         10219     0.4989   9.517E+00   1.4000   0.3397   2.906E-17   4.72124283E+00   1.15736978E+01
     965         10260     0.4114   9.341E+00   1.4000   0.3332   2.255E-17   4.72022173E+00   1.15705746E+01
     970       10306.7     0.4697   9.331E+00   1.4000   0.2913   2.903E-17   4.71907265E+00   1.15673449E+01
     975       10348.6     0.4858   9.790E+00   1.4000   0.2926   2.515E-17   4.71805467E+00   1.15647013E+01
     980       10389.8     0.4851   9.787E+00   1.4000   0.2964   2.906E-17   4.71706586E+00   1.15622295E+01
     985       10438.4     0.4067   1.610E+00   0.2324   0.0533   2.862E-17   4.71591050E+00   1.15596514E+01
     990       10478.4     0.4847   9.567E+00   1.4000   0.3596   2.776E-17   4.71496937E+00   1.15580644E+01
     995       10519.2     0.4858   9.513E+00   1.4000   0.3729   2.472E-17   4.71401658E+00   1.15568779E+01
    1000         10560     0.4235   9.430E+00   1.4000   0.3561   2.602E-17   4.71306769E+00   1.15558957E+01
    1005       10607.4     0.4725   9.357E+00   1.4000   0.3440   2.776E-17   4.71197058E+00   1.15547030E+01
    1010       10647.8     0.4914   9.157E+00   1.4000   0.3075   4.098E-17   4.71103572E+00   1.15535493E+01
    1015       10689.2     0.4852   9.396E+00   1.4000   0.3194   2.949E-17   4.71007374E+00   1.15519347E+01
    1020       10736.2     0.4236   3.813E+00   0.5625   0.1458   2.906E-17   4.70897864E+00   1.15492173E+01
    1025       10777.9     0.4850   9.484E+00   1.4000   0.2995   2.418E-17   4.70800058E+00   1.15463414E+01
    1028         10800     0.2766   9.414E+00   1.4000   0.3173   2.776E-17   4.70747965E+00   1.15448122E+01
    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
    1030       10818.6     0.1956   9.602E+00   1.4000   0.3352   2.862E-17   4.70703938E+00   1.15435161E+01
    1035         10860     0.4454   9.400E+00   1.4000   0.3063   2.949E-17   4.70605849E+00   1.15409723E+01
    1040       10906.6     0.4982   9.040E+00   1.4000   0.2941   2.786E-17   4.70494842E+00   1.15385930E+01
    1045       10946.8     0.4942   8.784E+00   1.4000   0.2918   2.559E-17   4.70398780E+00   1.15369099E+01
    1050       10988.7     0.4844   8.666E+00   1.4000   0.3051   2.602E-17   4.70298519E+00   1.15352436E+01
    1055       11031.9     0.4288   8.088E+00   1.2854   0.2891   2.862E-17   4.70194957E+00   1.15336522E+01
    1060         11074     0.5553   8.102E+00   1.4000   0.2847   2.748E-17   4.70094262E+00   1.15325419E+01
    1065       11107.9     0.5057   7.707E+00   1.4000   0.2512   2.841E-17   4.70013328E+00   1.15321121E+01
    1070       11146.2     0.4799   7.556E+00   1.4000   0.2547   4.578E-17   4.69922506E+00   1.15319684E+01
    1075       11182.7     0.5069   7.530E+00   1.4000   0.2633   3.253E-17   4.69836625E+00   1.15320291E+01
    1080         11220     0.4320   7.754E+00   1.4000   0.2861   3.513E-17   4.69749842E+00   1.15320709E+01
    1085       11258.8     0.4877   7.957E+00   1.4000   0.3143   3.730E-17   4.69660488E+00   1.15318385E+01
    1090       11295.9     0.4927   7.894E+00   1.4000   0.3121   3.990E-17   4.69575736E+00   1.15311908E+01
    1095       11335.9     0.4028   4.145E+00   0.7173   0.1681   3.296E-17   4.69484904E+00   1.15297583E+01
    1100       11372.9     0.4975   8.571E+00   1.4000   0.3506   2.949E-17   4.69400949E+00   1.15278149E+01
    1105         11409     0.4910   8.863E+00   1.4000   0.3355   2.960E-17   4.69319263E+00   1.15256003E+01
    1110       11453.8     0.4472   6.201E+00   1.0132   0.2153   2.776E-17   4.69217688E+00   1.15232218E+01
    1115       11492.5     0.5039   7.762E+00   1.4000   0.2810   2.862E-17   4.69129602E+00   1.15220938E+01
    1120       11527.6     0.4910   7.744E+00   1.4000   0.2820   2.957E-17   4.69049165E+00   1.15214707E+01
    1125       11565.9     0.4228   7.619E+00   1.4000   0.2816   2.711E-17   4.68960721E+00   1.15205209E+01
    1130       11603.2     0.5091   7.681E+00   1.4000   0.2665   3.468E-17   4.68874073E+00   1.15188664E+01
    1135         11640     0.4392   7.978E+00   1.4000   0.2614   2.721E-17   4.68787524E+00   1.15164752E+01
    1140       11679.5     0.4807   7.880E+00   1.4000   0.2626   2.938E-17   4.68693765E+00   1.15135283E+01
    1145       11716.1     0.5062   8.262E+00   1.4000   0.2831   2.515E-17   4.68605784E+00   1.15109147E+01
    1150       11757.8     0.4082   2.222E+00   0.3678   0.0780   2.949E-17   4.68504637E+00   1.15080274E+01
    1155       11794.5     0.5153   8.553E+00   1.4000   0.3159   2.927E-17   4.68414547E+00   1.15053774E+01
    1160       11837.3     0.5121   8.898E+00   1.4000   0.3289   3.296E-17   4.68308277E+00   1.15019449E+01
    1165         11880     0.4302   8.442E+00   1.4000   0.3265   3.079E-17   4.68201134E+00   1.14981039E+01
    1170       11921.6     0.4831   8.154E+00   1.4000   0.3026   2.862E-17   4.68095783E+00   1.14939960E+01
    1175       11956.4     0.4973   8.345E+00   1.4000   0.2856   2.862E-17   4.68006674E+00   1.14903365E+01
    1180       11998.7     0.4325   1.331E+00   0.2137   0.0440   2.906E-17   4.67897660E+00   1.14856298E+01
    1185       12035.3     0.4886   8.988E+00   1.4000   0.3068   3.529E-17   4.67802375E+00   1.14814448E+01
    1190       12078.4     0.4984   8.855E+00   1.4000   0.3260   2.602E-17   4.67689458E+00   1.14766751E+01
    1195         12120     0.4357   8.405E+00   1.4000   0.2969   2.862E-17   4.67580180E+00   1.14725499E+01
    1200       12162.4     0.4944   8.471E+00   1.4000   0.2882   2.689E-17   4.67468398E+00   1.14688229E+01
    1205       12197.2     0.4967   8.440E+00   1.4000   0.3010   2.927E-17   4.67376895E+00   1.14660993E+01
    1210       12239.2     0.4345   8.416E-01   0.1420   0.0297   4.250E-17   4.67266465E+00   1.14629176E+01
    1215       12273.6     0.5070   8.421E+00   1.4000   0.2800   3.426E-17   4.67176165E+00   1.14601275E+01
    1220       12308.5     0.4938   8.658E+00   1.4000   0.2951   2.515E-17   4.67084908E+00   1.14569678E+01
    1225         12351     0.4341   8.340E+00   1.4000   0.2922   3.209E-17   4.66974181E+00   1.14525898E+01
    1230       12384.6     0.5565   8.211E+00   1.4000   0.2742   3.383E-17   4.66887436E+00   1.14487149E+01
    1235         12420     0.5067   8.000E+00   1.4000   0.2670   3.686E-17   4.66796310E+00   1.14441282E+01
    1240       12460.3     0.5451   8.139E+00   1.4000   0.2679   3.804E-17   4.66692999E+00   1.14381526E+01
    1245       12496.4     0.5089   8.236E+00   1.4000   0.2690   3.231E-17   4.66600925E+00   1.14322014E+01
