    ITER          TIME      CPUDT          DT      CFL     DNUM         DIV              MOM              TKE
     855          9540     0.1926   9.305E+00   1.4000   0.2828   2.168E-17   4.73584612E+00   1.15905191E+01
     860       9586.39     0.3793   9.193E+00   1.4000   0.2702   2.645E-17   4.73456615E+00   1.15861860E+01
     865       9627.81     0.4075   9.312E+00   1.4000   0.2958   2.255E-17   4.73343046E+00   1.15823724E+01
     870       9669.49     0.4092   9.537E+00   1.4000   0.3106   2.320E-17   4.73229288E+00   1.15785617E+01
     875       9717.64     0.2019   2.363E+00   0.3454   0.0783   2.689E-17   4.73098398E+00   1.15743812E+01
     880       9758.28     0.3812   9.552E+00   1.4000   0.3034   3.123E-17   4.72988142E+00   1.15713148E+01
     885       9799.23     0.4071   9.569E+00   1.4000   0.3202   2.255E-17   4.72877096E+00   1.15685232E+01
     890          9840     0.2203   9.472E+00   1.4000   0.3211   2.439E-17   4.72766504E+00   1.15659927E+01
     895          9886     0.4261   8.921E+00   1.4000   0.2787   2.255E-17   4.72641635E+00   1.15638441E+01
     900       9926.25     0.4007   8.630E+00   1.4000   0.2793   2.602E-17   4.72532454E+00   1.15630768E+01
     905       9968.58     0.3843   8.652E+00   1.4000   0.2751   2.602E-17   4.72417918E+00   1.15634336E+01
     910       10012.1     0.1986   7.914E+00   1.2693   0.2402   2.537E-17   4.72300903E+00   1.15644909E+01
     915       10055.3     0.3972   8.982E+00   1.4000   0.2909   2.602E-17   4.72185539E+00   1.15654313E+01
     920       10098.3     0.3914   9.122E+00   1.4000   0.3109   2.645E-17   4.72071405E+00   1.15656960E+01
     925         10140     0.2090   8.752E+00   1.4000   0.3184   2.429E-17   4.71961344E+00   1.15655056E+01
     930       10182.9     0.3824   8.345E+00   1.4000   0.2825   3.925E-17   4.71847992E+00   1.15652095E+01
     935       10216.4     0.3884   8.111E+00   1.4000   0.2731   3.383E-17   4.71759109E+00   1.15649901E+01
     940       10256.9     0.2183   3.073E+00   0.5363   0.1065   3.036E-17   4.71651277E+00   1.15644257E+01
     945       10292.3     0.4006   8.201E+00   1.4000   0.2986   3.057E-17   4.71556605E+00   1.15635338E+01
     950       10328.3     0.4062   8.424E+00   1.4000   0.2964   2.472E-17   4.71460048E+00   1.15623723E+01
